情感分数 = 45.979996	بىر=M=بىر ئادەمنىڭ=N=ئادەم قەلبى=N=قەلب تەبىئەت=N=تەبىئەت مۇھەببىتىگە=N=مۇھەببىتى تولغاندا=V=تول دۇنيانى=N=دۇنيا ئاجايىپ=A=ئاجايىپ گۈزەل=A=گۈزەل خۇددى=T=خۇددى قوينى=N=قوي ئىنتايىن=D=ئىنتايىن كەڭ=A=كەڭ جەننەت=N=جەننەت ھېس=N=ھېس قىلىدۇ=V=قىل تاغلارغا=N=تاغ قاراپ=V=قارا ئىرادىسى=N=ئىرادە كۈچىيىدۇ=V=كۈچەي شىلدىرلاپ=V=شىلدىرلا ئاققان=V=ئاق سۈزۈك=A=سۈزۈك سۇلارغا=N=سۇ قاراپ=V=قارا ھېسسىياتى=N=ھېسسىيات ئۇرغۇپ=V=ئۇرغۇ تاشىدۇ=V=تاش كۆپكۆك=A=كۆپكۆك ئاسماندىكى=N=ئاسمان ئاق=A=ئاق بۇلۇت=N=بۇلۇت ۋە=C=ۋە پارلاپ=N=پارلاپ تۇرغان=V=تۇر قۇياشقا=N=قۇياش قاراپ=V=قارا كۆڭلى=N=كۆڭلى يورۇپ=V=يورۇ ئەركىن=A=ئەركىن تەمكىن=A=تەمكىن جۇشقۇن=A=جۇشقۇن ساغلام=A=ساغلام بەھۇزۇرلۇق=A=بەھۇزۇر تۇيغۇغا=N=تۇيغۇ چۆمىدۇ=N=چۆم قەلبىگە=N=قەلبى خىزمەت=N=خىزمەت مۇھەببىتى=N=مۇھەببەت تولغاندا=V=تول بولسا=V=بول خىزمەتداشلىرى=N=خىزمەتداش خۇددى=T=خۇددى يېقىن=A=يېقىن تۇغقانلىرىدەك=N=تۇغقان بىلىنىپ=V=بىل ناھايىتى=D=ناھايىتى ئىجىل=N=ئىجىل ئىجىل=A=ئىجىل ئىناق=A=ئىناق بولغان=V=بول قىزغىن=A=قىزغىن مۇھىتتا=N=مۇھىت بارغانسېرى=V=بار ئىچەكىشىپ=V=ئىچەكىشىپ جانلىنىپ=V=جانلان كېتىدۇ=V=كەت ئەتراپتىكى=N=ئەتراپ ھەممە=P=ھەممە نەرسە=N=نەرسە شۇنداق=P=شۇنداق يېقىملىق=A=يېقىملىق تۇيۇلۇپ=V=تۇي ئۆزىنى=P=ئۆز ئازادە=A=ئازادە يېنىك=A=يېنىك ھېس=N=ھېس قىلىپ=V=قىل راھەت=N=راھەت بۆشۈكىدە=N=بۆشۈك غەمسىز=A=غەمسىز ئەلەيلىنىدۇ=V=ئەلەيلەن
情感分数 = -20.86	ئەخمەق=A=ئەخمەق سەمىمىيەتسىز=A=سەمىمىيەتسىز ئىچى=N=ئىچ قوتۇر=A=قوتۇر ئىپلاس=A=ئىپلاس ۋە=C=ۋە رەزىل=A=رەزىل ئادەملەرنىڭ=N=ئادەم ئەتىراپىغا=V=ئەتىراپى يەنە=D=يەنە شۇ=P=شۇ ئەخمەق=A=ئەخمەق سەمىمىيەتسىز=A=سەمىمىيەتسىز ئىچى=N=ئىچ قوتۇر=A=قوتۇر ئىپلاس=A=ئىپلاس ۋە=C=ۋە رەزىل=A=رەزىل ئادەملەر=N=ئادەملەر توپلانغان=V=توپلا ياكى=C=ياكى بولمىسا=V=بول ئۇلارنىڭ=P=ئۇلار ئارىلىشىدىغان=V=ئارىلاش ئادەملىرى=N=ئادەم كۆپۈنچە=A=كۆپۈنچە ھالدا=N=ھال يەنە=C=يەنە شۇ=P=شۇ ئۆزى=P=ئۆز بىلەن=R=بىلەن ئوخشاش=A=ئوخشاش خىلدىكى=N=خىل ئادەملەر=N=ئادەملەر بولغان=V=بول
情感分数 = -20.58	ئۇ=P=ئۇ قاچانلا=P=قاچان قارىسا=V=قارا چىرايىدىن=N=چىراي مۇز=N=مۇز ياغدۇرۇپ=V=ياغ ئادەم=N=ئادەم تىللاپلا=V=تىللاپ ئولتۇرىدىغان=V=ئولتۇر بىشەم=A=بىشەم ئانىسىنىڭ=N=ئانا كوتىلداشلىرىغىمۇ=V=كوتىلداش كىچىككىنە=A=كىچىك ئىشلاردىن=N=ئىش قۇسۇر=A=قۇسۇر تېپىپ=V=تاپ ئالەمنى=N=ئالەم مالەم=A=مالەم قىلىدىغان=V=قىل دادىسىنىڭ=N=دادا قۇپال=A=قۇپال سىلكىشلىرىگىمۇ=V=سىلكىش چوڭ=A=چوڭ ئاكىسىنىڭ=N=ئاكا غەزەپلىك=A=غەزەپلىك ئالىيىشلىرىغىمۇ=V=ئالىيىش سىڭلىسىنىڭ=N=سىڭلى دىدەك=N=دىدەك دىگەندەك=V=دە ھىڭدىن=N=ھىڭ سېسىق=A=سېسىق تىللاشلىرىغىمۇ=V=تىللاش ھەتتا=C=ھەتتا ئائىلىسىدىك=N=ئائىلە چار=A=چار خۇرازنىڭ=N=خۇراز دوق=N=دوق قىلغاندەك=V=قىل پالاق=N=پالاق پۇلۇق=N=پۇلۇق قانات=N=قانات قېقىشلىرىغىچە=V=قېقىش ھەممىگە=P=ھەممە ھەممىگە=P=ھەممە كۈنۈك=N=كۈنۈك ئىدى=V=ئىدى
情感分数 = 20.560001	شىنجاڭنىڭ=N=شىنجاڭ تاغ=N=تاغ دەريالىرىنى=N=دەريا قىزغىن=A=قىزغىن سۆيۈپ=V=سۆي شىنجاڭدىكى=N=شىنجاڭ ھەر=P=ھەر مىللەت=N=مىللەت خەلقىنىڭ=N=خەلق بەخت=N=بەخت سائادىتى=N=سائادەت تىنچ=A=تىنچ ئامانلىقى=A=ئامانلىق ئۈچۈن=C=ئۈچۈن ياشلىق=A=ياشلىق باھارى=N=باھار ئەقىل=N=ئەقىل پاراسىتى=N=پاراسەت كۈچىنى=N=كۈچى تەقدىم=N=تەقدىم قىلىپ=V=قىل بىر=M=بىر ئۆمۈر=N=ئۆمۈر تەر=N=تەر تۆككەن=V=تۆك چېگرا=N=چېگرا رايونغا=N=رايون ئۆزىنى=P=ئۆز تەقدىم=N=تەقدىم قىلغان=V=قىل بارلىق=P=بارلىق ئاچقۇچىلار=N=ئاچقۇچى قۇرغۇچىلارنى=N=قۇرغۇچى چوڭقۇر=A=چوڭقۇر ياد=N=ياد ئېتىمىز=V=ئەت
情感分数 = -19.720001	قانغا=N=قان مىلەنگەن=V=مىلەن بالا=N=بالا جەسىتىنى=N=جەسەت كۆرۈش=V=كۆر نەقەدەر=D=نەقەدەر دەھشەت=A=دەھشەت پۈتۈن=A=پۈتۈن مەھەللە=N=مەھەللە خەلقى=N=خەلق قوللىرىغا=N=قول تاياق=N=تاياق توقماق=N=توقماق تاش=N=تاش پالتىلارنى=N=پالتا ئېلىشىپ=V=ئال ۋەھشىي=A=ۋەھشىي ئەسكەرلەرنى=N=ئەسكەر خۇددى=T=خۇددى قوناقلىقنى=N=قوناقلىق تىلغىغان=V=تىلغا ياۋايى=A=ياۋايى توڭگۇزلارنى=N=توڭگۇز قوغلىغاندەك=V=قوغلا قوغلىدى=V=قوغلا
情感分数 = 17.7	تىنچلىقنى=A=تىنچلىق سۆيۈش=V=سۆي مۇلايىملىقنى=A=مۇلايىملىق ئۈمىد=N=ئۈمىد قىلىش=V=قىل ئاق=A=ئاق كۆڭۈللۈكنى=A=كۆڭۈللۈك قەدىرلەش=V=قەدىرلە ئىناقلىقنى=A=ئىناقلىق قوغلىشىش=V=قوغلا ئېلىمىزدىكى=N=ئەل ھەر=P=ھەر مىللەت=N=مىللەت خەلقىنىڭ=N=خەلق ئورتاق=A=ئورتاق ئېسىل=A=ئېسىل ئەنئەنىسى=N=ئەنئەنە ۋە=C=ۋە ئالىيجاناپ=A=ئالىيجاناپ پەزىلىتى=N=پەزىلەت
情感分数 = -17.150002	ئۇ=P=ئۇ كىشىلەرنى=N=كىشى بويسۇندۇرىمەن=V=بويسۇن دەپ=V=دە لالما=A=لالما ئىتقا=N=ئىت ئايلاندى=V=ئايلان باشقىلارنى=P=باشقا ئاچ=A=ئاچ يالىڭاچ=A=يالىڭاچ قويۇپ=V=قوي ئۆزۈم=P=ئۆز يايرايمەن=V=يايرا دەپ=V=دە ئاچ=A=ئاچ قوتۇر=A=قوتۇر ئىتقا=N=ئىت ئايلاندى=V=ئايلان ئۇ=P=ئۇ ياۋاشلارنى=A=ياۋاش تالايمەن=V=تالا دەپ=V=دە غالجىر=A=غالجىر ئىتقا=N=ئىت ئايلاندى=V=ئايلان
情感分数 = -16.010002	ئۆز=P=ئۆز ۋاقتىدىكى=N=ۋاقت قەدىردان=A=قەدىردان دوستى=N=دوست تۆمۈر=N=تۆمۈر خەلپە=N=خەلپە بىلەن=R=بىلەن ئامانقۇل=N=ئامانقۇل ۋە=C=ۋە ئۇلارنىڭ=P=ئۇلار ئېچىنشلىق=A=ئېچىنشلىق ئاقىۋىتى=N=ئاقىۋەت گامازا=N=گامازا تۇڭگان=N=تۇڭگان بىلەن=R=بىلەن بىرلىكتە=N=بىرلىكتە ئۇلارنىڭ=P=ئۇلار تاۋۇتىنى=N=تاۋۇت مۇشۇ=P=مۇشۇ قەبرىستانلىققا=N=قەبرىستانلىق كۆتۈرۈپ=V=كۆتۈر كەلگىنى=V=كەل زالىم=A=زالىم پادىشاھلارنىڭ=N=پادىشاھ كۆڭلىدەك=N=كۆڭلى قارا=A=قارا ۋە=C=ۋە شەپقەتسىز=A=شەپقەتسىز گۆرنىڭ=N=گۆر يولۋاستەك=A=يولۋاس غەيۇر=A=غەيۇر قەھرىمانلارنى=N=قەھرىمان بىردەم=D=بىردەم ئىچىدە=N=ئىچى يۇتۇپ=V=يۇت كەتكىنى=V=كەت ۋە=C=ۋە شۇنىڭغا=P=شۇنىڭ ئوخشاش=A=ئوخشاش قايغۇلۇق=A=قايغۇلۇق خاتىرىلەر=N=خاتىرە ئۇنىڭ=P=ئۇنىڭ كۆز=N=كۆز ئالدىدىن=N=ئالدىدىن قاتار=N=قاتار قاتار=N=قاتار ئۆتمەكتە=V=ئۆت ۋە=C=ۋە كۆڭلى=N=كۆڭلى بىر=M=بىر قىسما=N=قىسما بولۇپ=V=بول كۆزىگە=N=كۆز يىغا=V=يىغا ئولاشماقتا=V=ئولاش ئىدى=V=ئىد
情感分数 = -15.860001	سولا=V=سولا ماڭا=P=ماڭا ئىلگىرى=D=ئىلگىرى تەل=N=تەل خاجاس=N=خاجاس دىگەن=V=دە بۇ=P=بۇ غەلىتە=A=غەلىتە ئەبلەخنىڭ=A=ئەبلەخ جاھاندا=N=جاھان يەنى=C=يەنى بىرى=M=بىرى يوق=A=يوق رەھىمسىز=A=رەھىمسىز ئەشەددىي=A=ئەشەددىي يىرتقۇچ=A=يىرتقۇچ ئالۋاستى=N=ئالۋاستى ئىكەنلىكىنى=V=ئىكەنلىك ئۇنىڭ=P=ئۇنىڭ شەپقەتسىز=A=شەپقەتسىز ھەم=C=ھەم ھىيلىگەرلىكىنى=A=ھىيلىگەر ئېيتقان=V=ئېيت
情感分数 = 15.700001	بۇلار=P=بۇ سىزگە=P=سىز ھەقىقىي=A=ھەقىقىي ئۇلۇغلۇقنىڭ=A=ئۇلۇغلۇق تۈز=A=تۈز كۆڭۈللۈكتە=N=كۆڭۈللۈك ھەقىقى=N=ھەقىقى ئەقىل=N=ئەقىل پاراسەتنىڭ=A=پاراسەت كەمتەرلىكتە=A=كەمتەرلىك ھەقىقىي=A=ھەقىقىي قۇدۇرەتنىڭ=N=قۇدرەت سىپايىلىكتە=A=سىپايىلىك ئىكەنلىكىنى=V=ئىكەن ئۆگىتىدۇ=N=ئۆگەت
情感分数 = 15.42	ۋاپادار=A=ۋاپادار قىز=N=قىز ئوغلان=N=ئوغلان ئۆيگە=N=ئۆي كەلسە=V=كەل پەتىلەپ=V=پەتىلە كەلسە=V=كەل ئوماق=A=ئوماق نەۋرە=N=نەۋرە چەۋرە=N=چەۋرە كۈلسە=V=كۈل ئەركىلەپ=V=ئەركىلە گۈل=N=گۈل مەڭزىگە=N=مەڭزى تاتلىققىنە=A=تاتلىققىنە سۆيسە=V=سۆي پەپىلەپ=V=پەپىلە ھۇزۇرىدىن=N=ھۇزۇر يايرار=V=يايرار جانلار=N=جان ئايەم=N=ئايەم مۇبارەك=V=مۇبارەك
