情感分数 = -19.865002	يېغىرىمنى=N=يېغىر تاتلاپ=V=تاتلا بىزنىڭ=P=بىز مىللەتتە=N=مىللەت ئوغرى=A=ئوغرى يوق=A=يوق تىلەمچى=A=تىلەمچى يوق=A=يوق دېگەندەك=V=دە گەپلەرنى=N=گەپ سۆرەپ=V=سۆرە چىقىپ=V=چىق تازا=D=تازا ئاچچىقىمنى=A=ئاچچىق كەلتۈردى=V=كەل قۇدرەتلىك=A=قۇدرەتلىك ئاللاھ=N=ئاللاھ بىلىدۇ=V=بىل ھەممىنى=P=ھەممە نەچچە=P=نەچچە كۈن=N=كۈن قاتتىق=A=قاتتىق ئاچچىق=A=ئاچچىق يەۋالدىم=V=يە دېسە=V=دە
情感分数 = -18.29	مۇشۇ=P=مۇشۇ پىلانلىق=A=پىلان تۇغۇت=N=تۇغۇت خىزمىتىدە=N=خىزمەت ئىشلەيدىغانلارنىڭ=N=ئىشلە قىلمىشى=N=قىلمىش ئوچۇقتىن-ئوچۇق=N=ئوچۇق-ئوچۇق ئىنسانىيەتكە=N=ئىنسانىيەت قىلغان=V=قىل بىر=M=بىر ئەشەددىي=A=ئەشەددىي جىنايەتتۇر=N=جىنايەت ،=V=، ئەڭ=D=ئەڭ ئەقەللىي=A=ئەقەللي بولغان=V=بول ئەۋلاد=N=ئەۋلاد قالدۇرۇش=V=قال ھوقوقىمىزمۇ=N=ھوقوق چەكلىنىۋاتسا=N=چەكلەن ،=V=، ھەتتا=R=ھەتتا 5=N=5 ئايلىق=A=ئايلىق بولغان=V=بول ھامىلىغىمۇ=N=ھامىلە ئىبلىس=N=ئىبلىس قولىنى=N=قول سۇنۇپ=V=سۇن تىخى=N=تىخ تۇغۇلماي=N=تۇغۇل تۇرۇپلا=V=تۇر ئۆلۈپ=V=ئۆل كىتىشىگە=N=كىتىشە ئاساسلىق=A=ئاساس سەۋەبچى=N=سەۋەبچى بولۇۋاتىدۇ=V=بول ،=N=،
情感分数 = -16.720001	لالما=A=لالما ئىتلار=N=ئىت كەلدى=V=كەل ئەخلەت=N=ئەخلەت يۈندىلار=N=يۈندا ئارىسىدا=N=ئارا پۇرىدى=V=پۇرا لاغايلاپ=V=لاغايلا يۈردى=V=يۈر ،=N=، ئادەملەر=N=ئادەم شۇنچىلىك=P=شۇنچە بىغەم=A=بىغەم بوپ=V=بول كەتكەنكى=N=كەت ،=V=، ئۇلارنى=P=ئۇلار ھەيدىۋىتىش=V=ھەيدە خىيالىغىمۇ=N=خىيال كەلمىدى=V=كەل ،=V=، ھالا=T=ھالا بۈگۈنكە=N=بۈگۈن كۈنگە=N=كۈن كەلگەندە=V=كەل لالما=A=لالما ئىتلار=N=ئىت پاچاققا=N=پاچاق ئېسىلدى=V=ئاس
情感分数 = -15.150002	كىشىلەر=N=كىشى دېڭىزنى=N=دېڭىز تۇزلۇق=N=تۇزلۇق دەپ=V=دە غۇدۇڭشىيدۇيۇ=V=غۇدۇڭشىش شۇ=P=شۇ تۇزلۇق=N=تۇزلۇق دېڭىز=N=دېڭىز باغرىدا=N=باغر چوڭ=A=چوڭ قىلىپ=V=قىل بەرگەن=V=بەر بېلىقنى=N=بېلىق ئىشتىھا=N=ئىشتىھا بىلەن=R=بىلەن يەيدۇ=V=يە ،=N=، ما=N=ما گۈدۈكنىمۇ=N=گۈدۈك تۇزلۇقكەن=N=تۇزلۇق ،=N=، تۇزسىزكەن=N=تۇزسىز دەپ=V=دە قاقشاپ=V=قاقشا تۇرۇپ=V=تۇر ،=N=، يەنە=D=يەنە گۈدۈكتىن=N=گۈدۈك چىقماي=V=چىق تۇزىنى=N=تۇز يەيدىغانلار=V=يە جىقكىنا=A=جىق ،=N=، يا=N=يا تۇزلۇقنى=N=تۇزلۇق چېقىپ=V=چاق تۇزكور=A=تۇزكور بولىلى=V=بول ،=N=، يا=N=يا قاقشاۋەرمەي=N=قاقشا تۇزىمىزنى=N=تۇز يەيلى=V=يە .=N=.
情感分数 = -14.0	تىلگىرافنىڭ=N=تىلگىراف يېڭى=A=يېڭى ئېلانىكەن=N=ئېلان بىراق=R=بىراق بەك=D=بەك تېتىقسىز=A=تېتىقسىز ھېس=N=ھېس قىلدىم=V=قىل يولۋاس=N=يولۋاس بولىمەن=V=بول دەپ=V=دە ئىت=N=ئىت بولۇپ=V=بول قاپتۇ=V=قال دېگەندەكلا=V=دە ئىشتە=N=ئىش
情感分数 = -14.0	ئىناۋەت=N=ئىناۋەت كارتا=N=كارتا قۇلى=N=قۇل ئۆي=N=ئۆي قۇلى=N=قۇل ماشىنا=N=ماشىنا قۇلى=N=قۇل مۇھەببەت=N=مۇھەببەت قۇلى=N=قۇل ئىش=N=ئىش قۇلى=N=قۇل يىلدىن=N=يىل كېيىنكىلەر=A=كېيىنكى رەسمىي=A=رەسمىي قۇللۇق=A=قۇللۇق دەۋرگە=N=دەۋر قەدەم=N=قەدەم قويدى=V=قوي سىز=P=سىز نېمە=N=نېمە قۇلى=N=قۇل ؟=N=؟
情感分数 = -13.720001	تارىخنى=N=تارىخ بىلمەسلىك=V=بىل ۋە=R=ۋە تارىختىكى=N=تارىخ كىشلەرنى=N=كىشى خائىن=N=خائىن ساتقىن=N=ساتقىن دەپ=V=دە قاراشنىڭ=V=قارا ئۆزى=P=ئۆز ۋىجدانسىزلارنىڭ=V=ۋىجدانسىز ،=N=، شەرەپسىزلەرنىڭ=N=شەرەپسىز ،=N=، غورورى=N=غورور يوق=A=يوق خائىنلارنىڭ=N=خائىن ئىشىدۇر=N=ئىشىدۇر .=N=.
情感分数 = -13.720001	ئۈرۈمچىنىڭ=N=ئۈرۈمچى ياز=N=ياز پەسلى=N=پەسل شۇنچىلىك=P=شۇنچە گۈزەل=A=گۈزەل ،=N=، بىراق=R=بىراق ھاياسىز=A=ھاياسىز خوتۇن=N=خوتۇن قىزلارنىڭ=N=قىز دەستىدىن=N=دەستى كوچىغا=N=كوچا چىققۇسىزلا=N=چىققۇسىز بولۇپ=V=بول كېتىدۇ=V=كەت .=N=.
情感分数 = -13.430001	مەن=P=مەن بەك=D=بەك ھېرىپ=V=ھار كەتتىم=V=كەت ،=N=، ھېرىپ=V=ھار كىتىشىم=N=كىتەش بەك=D=بەك ئىشچانلىقىمدىن=N=ئىشچان ئەمەس=V=ئەمەس بەلكى=R=بەلكى بەك=D=بەك ھورۇنلىقىمدىن=N=ھورۇن ،=N=، خىيالنى=N=خىيال تولا=A=تولا قىلغانلىقىمدىن=N=قىل بولدى=V=بول
情感分数 = -13.139999	بەك=D=بەك چارچاپ=V=چارچا كەتتىممۇ=N=كەت بىلمىدىم=V=بىل ،=V=، ھەممە=P=ھەممە ئادەمگە=N=ئادەم ۋارقىراپ=V=ۋارقىرا ،=N=، كۆڭلىگە=N=كۆڭۈل ئازار=N=ئازار بېرىپتىمەن=V=بەر ،=N=، ئەمدى=D=ئەمدى كۆڭلۈم=N=كۆڭۈل بەك=D=بەك يېرىم=A=يېرىم .=N=.
情感分数 = -13.005001	ھاردۇق=N=ھاردۇق چىقاي=V=چىق دېمەيدۇ=V=دە كەيپىياتىم=N=كەيپىيات ئاندىن=R=ئاندىن ناچار=A=ناچار بۇرۇنقى=A=بۇرۇنقى زاماندىكىدەك=N=زامان ھېچكىم=P=ھېچكىم بامايدىغان=V=بار خالىي=A=خالىي يەر=N=يەر بولسا=V=بول كەتسەم=V=كەت دەيمەن=V=دە بەك=D=بەك سەت=A=سەت زېرىكتىم=V=زېرىك دېسە=V=دە
情感分数 = -13.0	مۇشۇ=P=مۇشۇ خەق=N=خەق ياسىغان=V=ياسا يۇمشاق=A=يۇمشاق دېتاللارغا=N=دېتال يامان=A=يامان ئۆچ=A=ئۆچ بولدۇم=V=بول ،=A=، بىرنى=M=بىر قاچىلىسا=N=قاچىلا ،=N=، 10=N=10 لۈكچەك=N=لۈكچەك دېتال=N=دېتال بىللە=D=بىللە گۆشۈرۈپ=N=گۆشۈرۈپ بىزنىمۇ=P=بىز قاچىلا=N=قاچىلا دەۋاتقان=V=دە ،=N=، تېخى=D=تېخى زورلاپ=V=زورلا قاچىلىۋىتىشلىرىمۇ=N=قاچىلا بار=A=بار .=N=.
情感分数 = -12.860001	ھەقىقەتەن=D=ھەقىقەتەن بۇ=P=بۇ گۈدۈكتە=N=گۈدۈك چىكىنىپ=V=چىكىن كىتىش=V=كەت ئەھۋالى=N=ئەھۋال بەك=D=بەك ئېغىر=A=ئېغىر بۇنىڭغا=P=بۇ قارلۇق=V=قارلۇق بىر=M=بىر ئامال=N=ئامال قىلمىسا=V=قىل ئاچچىقىمنى=N=ئاچچىق تېلفۇنۇمدىن=N=تېلفۇن چىقىرىپ=V=چىق قالارمەنمۇدەپ=V=قالار ئەنسىرەپ=V=ئەنسىرە قالدىم=V=قال !=N=!
情感分数 = -12.5	بۇنىڭدىن=P=بۇنىڭ بۇرۇن=D=بۇرۇن قانداق=P=قانداق بولغان=V=بول بولسا=V=بول ھېچ=P=ھېچ ۋەقەسى=N=ۋەقە يوق=A=يوق  مەغلۇپ=A=مەغلۇپ بولساقمۇ=V=بول ھېچ=P=ھېچ ۋەقەسى=N=ۋەقە يوق=A=يوق  مەن=P=مەن بۈگۈننى=V=بۈگۈننى ئەڭ=D=ئەڭ يۇقىرى=A=يۇقىرى ھاياجان=A=ھاياجان بىلەن=R=بىلەن بىلەن=R=بىلەن باشلايمەن=V=باشلا 
情感分数 = -12.43	قەدىمدە=N=قەدىم ئات=N=ئات ئۈستىگە=N=ئۈستى توغۇلۇپ=V=توغۇل ئات=N=ئات ئۈستىدە=N=ئۈستىدە ئۆلىدۇ=V=ئۆل دەپ=V=دە تەرىپلەنگەن=V=تەرىپلەن باتۇر=A=باتۇر خەلقنىڭ=N=خەلق ئەجدادى=N=ئەجداد بولغان=V=بول بىزلەر=P=بىز ،=V=، ھالا=T=ھالا بۈگۈنكى=A=بۈگۈنكى كۈندە=N=كۈن «=N=« ھاراق=N=ھاراق بوتۇلكىسى=N=بوتۇلكا ئۈستىگە=N=ئۈستىگە توغۇلۇپ=V=توغۇل ،=N=، ھاراق=N=ھاراق بوتۇلكىسى=N=بوتۇلكا ئۈستىدە=N=ئۈستىدە ئۆلۈپ=V=ئۆل كەتسەك=V=كەت بۇنىڭدىنمۇ=P=بۇ خار=A=خار ۋە=R=ۋە ئېچىنىشلىق=A=ئېچىنىشلىق ئەھۋال=N=ئەھۋال بولمىسا=V=بول كېرەك=A=كېرەك
情感分数 = -12.295	ئەمدى=D=ئەمدى قاقشاشنى=V=قاقشا توختىتىڭلار=V=توختات ىز=P=بىز قاقشاشتىن=V=قاقشا بەك=D=بەك زېرىكتۇق=V=زېرىك بالىمىزنى=N=بالا ئەسكى=A=ئەسكى دەپ=V=دە تىللاۋەرسەك=V=تىللا خەق=N=خەق ئۆزىنىڭ=N=ئۆز ياخشى=A=ياخشى بالىسىنى=N=بالا بىزگە=P=بىز بەرمەيدۇ=V=بەر
情感分数 = -12.0	توك=N=توك بولمىسا=V=بول نېمىدېگەن=D=نېمىدېگەن جاپا=A=جاپا كۈن=N=كۈن توك=N=توك يوق=A=يوق بەك=D=بەك مۈشكۈل=A=مۈشكۈل ئۆتكۈزدۈم=V=ئۆت دېسە=V=دە !=N=!
