情感分数 = 25.56	دوستۇم=N=دوست مەن=P=مەن باھارغا=N=باھار ئاشىقمەن=V=ئاشىق چۈنكى=C=چۈنكى ئۇ=P=ئۇ قەلىبلەرگە=N=قەلىب ئۈمۈت=N=ئۈمۈت چىرىغى=N=چىراغ يېقىپ=V=يېقىپ ئالەمنى=N=ئالەم گۈزەل=A=گۈزەل كۆرسىتەلەيدۇ=V=كۆر يازنىڭ=N=ياز مەدىتىدە=N=مەدىتى كۈزنىڭ=N=كۈز مول=A=مول ھوسۇل=N=ھوسۇل ۋېسالىغا=N=ۋېسال يېتىشكە=V=يەت ئۈندەيدۇ=V=ئۈندە ئېھ=I=ئېھ دوستلىرىم=N=دوست بۈگۈنكىدەك=N=بۈگۈنكى ئۆملۈك=N=ئۆملۈك ئىچىدە=N=ئىچى نورۇز=N=نورۇز بايرىمىنى=N=بايرام كۈتىۋىلىش=V=كۈتىۋىلىش نەقەدەر=D=نەقەدەر كۆڭۈللۈك=A=كۆڭۈللۈك ھە=T=ھە
情感分数 = 23.42	ئەدەبنىڭ=N=ئەدەب بېشى=N=باش سالام=N=سالام دەپ=V=دە بىكار=A=بىكار ئېيتمىغان=V=ئېيت مىللىي=A=مىللىي ئۆرپ-ئادىتىمىز=N=ئۆرپ-ئادىتىمىز سالاملىشىش=V=سالاملىشىش يۇسۇنىمىزغا=N=يۇسۇن ئۇيغۇن=A=ئۇيغۇن رەۋىشتە=N=رەۋىشتە ئۆزئارا=D=ئۆزئارا تەمەنناسىز=A=تەمەنناساز سەمىمىي=A=سەمىمىي سالاملىشىشتەك=V=سالاملىشىش گۈزەل=A=گۈزەل ئەخلاقىمىزدىن=N=ئەخلاق مەھرۇم=A=مەھرۇم بولمىساق=V=بول
情感分数 = 23.0	قامۇس=N=قامۇس بېتى=N=بەت يېڭىلىنىپ=V=يېڭىلىنىپ بەك=D=بەك ياخشى=A=ياخشى ئىش=N=ئىش بوپتۇ=V=بول ماڭا=P=ماڭ ئەڭ=D=ئەڭ يارىغان=A=يارىغان يېرى=N=يەر كۆرۈنمە=N=كۆرۈنمە يۈزى=N=يۈزى بەك=D=بەك راھەت=A=راھەت يېقىشلىق=A=يېقىشلىق بوپتۇ=V=بول تېخىمۇ=D=تېخىمۇ ئاددىيلىشىپتۇ=A=ئاددىيلىشىپتۇ ۋىكىپېدىيەگە=N=ۋىكىپېدىيە ئوخشاش=P=ئوخشاش باشقىلارمۇ=P=باشقا تەھرىرلىيەلەيدىغان=V=تەھرىرلىيەلەيدىغان ھەممەيلەن=M=ھەممەيلەن تەڭ=A=تەڭ تەرەققىي=A=تەرەققىي قىلدۇرغىلى=V=قىل بولىدىغان=V=بول ھالەتكە=N=ھالەت كەپتۇ=V=كەل مۇشۇ=P=مۇشۇ ھالىتىدىن=N=ھالات بەكرەك=D=بەكرەك خۇش=A=خۇش بولدۇم=V=بول
情感分数 = 21.279999	مەن=P=مەن باھارنى=N=باھار ياخشى=A=ياخشى كۆرىمەن=V=كۆر ئىللىق=A=ئىللىق باھار=N=باھار ئاپتىپىغا=N=ئاپتاپ چۆمۈلۈپ=V=چۆم سىرتنى=N=سىرت ئايلىنىش=V=ئايلان گۈل=N=گۈل چېچەكلەرنىڭ=N=چېچەك خۇش=A=خۇش بۇي=N=بۇي ھىدىدىن=N=ھىد مەستخۇش=A=مەستخۇش بولۇش=V=بول نەقەدەر=D=نەقەدەر ھوزۇر=A=ھوزۇر ھە=T=ھە
情感分数 = -20.720001	نۇرغۇن=A=نۇرغۇن كىشىلەر=N=كىشى يۇقىرى=A=يۇقىرى قان=N=قان بېسىمنىڭ=N=بېسىم ئالدىنى=V=ئالدى ئېلىۋاتقان=V=ئال كۈنلەردە=N=كۈن تۆۋەن=A=تۆۋەن قان=N=قان بېسىمنىڭ=N=بېسىم دەردىنى=A=دەرد تارتماقتىمەن=N=تارت قان=N=قان ئازلىق=A=ئازلىق ۋە=C=ۋە تۆۋەن=A=تۆۋەن قان=N=قان بېسىمنىڭ=N=بېسىم دەستىدىن=A=دەستىدىن بېشىم=N=باش ئاغرىپ=V=ئاغرى تۇرىدۇ=V=تۇر
情感分数 = -19.865002	يېغىرىمنى=A=يېغىر تاتلاپ=V=تاتلا بىزنىڭ=P=بىز مىللەتتە=N=مىللەت ئوغرى=A=ئوغرى يوق=V=يوق تىلەمچى=N=تىلەمچى يوق=V=يوق دېگەندەك=V=دە گەپلەرنى=N=گەپ سۆرەپ=V=سۆرە چىقىپ=V=چىق تازا=D=تازا ئاچچىقىمنى=A=ئاچچىق كەلتۈردى=V=كەل قۇدرەتلىك=A=قۇدرەتلىك ئاللاھ=N=ئاللاھ بىلىدۇ=V=بىل ھەممىنى=P=ھەممە نەچچە=P=نەچچە كۈن=N=كۈن قاتتىق=A=قاتتىق ئاچچىق=A=ئاچچىق يەۋالدىم=V=يە دېسە=V=دە
情感分数 = 19.28	ئانچىلوتتى=N=ئانچىلوت ئىرىشسە=V=ئىرىش توغرا=A=توغرا بولىدۇ=V=بول مىنىڭچە=P=مەن ئەڭ=D=ئەڭ مۇنەۋۋەر=A=مۇنەۋۋەر تېرىنىر=N=تېرىنىر مۇكاپاتى=N=مۇكاپات ئۇنىڭغا=P=ئۇنىڭ ئۇ=Y=ئۇ ئەڭ=D=ئەڭ مۇنەۋۋەر=A=مۇنەۋۋەر تېرىنىر=N=تېرىنىر مۇكاپاتىغا=N=مۇكاپات تامامەن=D=تامامەن ماس=A=ماس كىلىدۇ=V=كەل
情感分数 = 17.990002	بۇ=P=بۇ ھېكايىنى=N=ھېكايە بەكلا=D=بەك ياقتۇردۇم=A=ياقتۇر تىلى=N=تىل نازۇك=A=نازۇك ھېس=N=ھېس تۇيغۇلار=N=تۇيغۇ بەكلا=D=بەك ساپ=A=ساپ ھەم=C=ھەم سۈزۈك=A=سۈزۈك چىقىپتۇ=V=چىق تېخىمۇ=D=تېخىمۇ ياخشى=A=ياخشى ئەسەرلىرىڭىزنى=N=ئەسەر ئوقۇشقا=V=ئوقۇ قىزىقىۋاتىمەن=V=قىزىقىش ھارمىغايسىز=V=ھار
情感分数 = 17.99	مەنمۇ=P=مەن دوستۇم=N=دوست ئارقىلىق=R=ئارقىلىق ئەۋەتىپ=V=ئەۋەت بەردىم=V=بەر ئۇ=P=ئۇ قىزلارنىڭ=N=قىز سالامەتلىكىنىڭ=A=سالامەتلىك ترزرەك=A=ترزرەك ئەسلىگە=N=ئەسلىگە كېلىشىنى=V=كەل ئولۇغ=A=ئولۇغ ئاللادىن=N=ئاللا تىلەيمەن=V=تىلە بارلىق=P=بارلىق قېرىنداشلىرىمغا=N=قېرىنداش سالامەتلىك=A=سالامەتلىك ساپ=A=ساپ ئەقىل=N=ئەقىل مېھرى=N=مېھرى مۇھەببەت=N=مۇھەببەت داۋاملىق=A=داۋاملىق يار=N=يار بولغاي=V=بول
情感分数 = 17.419998	ئالى=A=ئالى مەكتەپنى=N=مەكتەپ پۇتتۇرگەن=V=پۇتتۇر قىزىڭىزنى=N=قىز تەبرىكلەيمەن=V=تەبرىكلە ياخشى=A=ياخشى خىزمەكە=N=خىزمە ئورۇنلىشىنى=N=ئورۇنلاش تىلەيمەن=V=تىلە شئېردا=N=شئېر يۇرەك=N=يۇرەك سۆزىڭىز=N=سۆز گۈزەل=A=گۈزەل يېقىملىق=A=يېقىملىق تىل=N=تىل بىلەن=R=بىلەن جانلىق=A=جانلىق تەسىرلىك=A=تەسىرلىك ئىپادىلىنىپتۇ=N=ئىپادىلىنىپتۇ ئىجادىيىتىڭىزگە=N=ئىجادىيىتە ئۇتۇق=N=ئۇتۇق تىلەيمەن=V=تىلە
情感分数 = 17.14	قوغۇن=N=قوغۇن يۇرتىدا=N=يۇرت نورۇز=N=نورۇز بەك=D=بەك ئەھمىيەتلىك=A=ئەھمىيەتلىك مول=A=مول مەزمۇنلۇق=A=مەزمۇنلۇق ئۆتكۇزۇلۇپتۇ=V=ئۆتكۇز سۇرەتلەرنىمۇ=N=سۇرەت بەك=D=بەك ياخشى=A=ياخشى تارتىپسىز=V=تارت ئەجرىڭىزگە=N=ئەجر تەشەككۈر=A=تەشەككۈر
